11:33:45.796 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
11:33:45.808 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
11:33:45.808 [main] INFO  c.browserstack.BrowserStackJavaAgent - Framework set to testng
11:34:10.485 [main] INFO  c.browserstack.utils.LogReportingAPI - Visit https://observability.browserstack.com/builds/mp65k3taqxpkwcbhhibdphsi9nq95k3cgaa4scwn to view build report, insights, and many more debugging information all at one place!

11:34:10.587 [Thread-0] WARN  c.browserstack.utils.UtilityMethods - Unable to show build URL, as build capability is not used
11:34:10.587 [Thread-0] INFO  c.b.config.BrowserStackConfig - WARN
11:39:36.910 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
11:39:36.917 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
11:39:36.917 [main] INFO  c.browserstack.BrowserStackJavaAgent - Framework set to testng
11:39:54.175 [main] INFO  c.browserstack.utils.LogReportingAPI - Visit https://observability.browserstack.com/builds/hbw3prvrcu0zpwdezevtsakpyn2yhvrhmfzvkxyg to view build report, insights, and many more debugging information all at one place!

11:39:54.342 [Thread-0] WARN  c.browserstack.utils.UtilityMethods - Unable to show build URL, as build capability is not used
11:39:54.342 [Thread-0] INFO  c.b.config.BrowserStackConfig - WARN
11:44:47.104 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
11:44:47.112 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
11:44:47.113 [main] INFO  c.browserstack.BrowserStackJavaAgent - Framework set to testng
11:45:02.339 [main] INFO  c.browserstack.utils.LogReportingAPI - Visit https://observability.browserstack.com/builds/ch5qeufupazbiuyb2kovxk4jhqn0qlbcb4yeyarq to view build report, insights, and many more debugging information all at one place!

11:45:02.434 [Thread-0] WARN  c.browserstack.utils.UtilityMethods - Unable to show build URL, as build capability is not used
11:45:02.434 [Thread-0] INFO  c.b.config.BrowserStackConfig - WARN
11:56:21.491 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
11:56:21.501 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
11:56:21.502 [main] INFO  c.browserstack.BrowserStackJavaAgent - Framework set to testng
11:56:41.436 [main] INFO  c.browserstack.utils.LogReportingAPI - Visit https://observability.browserstack.com/builds/fibnplriapabpgbr3ssjb91n5gbitnuxcjpg8s5b to view build report, insights, and many more debugging information all at one place!

11:56:41.591 [Thread-0] WARN  c.browserstack.utils.UtilityMethods - Unable to show build URL, as build capability is not used
11:56:41.591 [Thread-0] INFO  c.b.config.BrowserStackConfig - WARN
12:10:32.627 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
12:10:32.635 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
12:10:32.636 [main] INFO  c.browserstack.BrowserStackJavaAgent - Framework set to testng
12:10:48.655 [main] INFO  c.browserstack.utils.LogReportingAPI - Visit https://observability.browserstack.com/builds/q1t4kaot6jcdop1xzsgdggprpwjvfqltgnktifhc to view build report, insights, and many more debugging information all at one place!

12:10:48.767 [Thread-0] WARN  c.browserstack.utils.UtilityMethods - Unable to show build URL, as build capability is not used
12:10:48.767 [Thread-0] INFO  c.b.config.BrowserStackConfig - WARN
12:18:53.054 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
